"name","price","old_price","discount","category","brand","url","image_url","availability","seller"
"Red Bull White Peach Energy Drink","60","","","Redbull","","https://gourmetegypt.com/red-bull-white-peach-energy-drink","https://gourmetegypt.com/media/catalog/product/r/e/red_bull_white_peach_energy_drink.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=","",""
"Baguette Parmigiano Bresaola","245","","","Sandwiches","","https://gourmetegypt.com/baguette-parmigiano-bresaola","https://gourmetegypt.com/media/catalog/product/5/5/55.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=","",""
"Ritter Sport Gold Mini Chocolate","300","","","Chocolate & Sweets","","https://gourmetegypt.com/ritter-sport-gold-mini-chocolate","https://gourmetegypt.com/media/catalog/product/placeholder/default/Rewards-Placeholder.png","",""
"Brown Baguette Parmigiano Bresaola","250","","","Boxes","","https://gourmetegypt.com/brown-baguette-parmigiano-bresaola","https://gourmetegypt.com/media/catalog/product/7/0/7026556681831.png?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=&format=jpeg","",""
"Platinum Honey Manuka UMF™5+ MGO 83+","1200","","","Honey","","https://gourmetegypt.com/platinum-honey-manuka-umftm5-mgo-83","https://gourmetegypt.com/media/catalog/product/placeholder/default/Rewards-Placeholder.png","",""
"Platinum Honey Manuka UMF™10+ MGO 263+","2000","","","Honey","","https://gourmetegypt.com/platinum-honey-manuka-umftm10-mgo-263","https://gourmetegypt.com/media/catalog/product/placeholder/default/Rewards-Placeholder.png","",""
"Merba Creamy Cookies Chocolate Hazelnuts Flavor","155","","","Other Brands","","https://gourmetegypt.com/merba-creamy-cookies-chocolate-hazelnuts-flavor","https://gourmetegypt.com/media/catalog/product/placeholder/default/Rewards-Placeholder.png","",""
"Playing Cards Deluxe","263","","","Games","","https://gourmetegypt.com/playing-cards-deluxe","https://gourmetegypt.com/media/catalog/product/placeholder/default/Rewards-Placeholder.png","",""
"Oreo Corn Flakes","440","","","Breakfast Cereals","","https://gourmetegypt.com/oreo-corn-flakes","https://gourmetegypt.com/media/catalog/product/placeholder/default/Rewards-Placeholder.png","",""
"El Almendro Turron Salted Caramel Sticks with Almond","180","","","Chocolate & Sweets","","https://gourmetegypt.com/el-almendro-turron-salted-caramel-sticks-with-almond","https://gourmetegypt.com/media/catalog/product/8/4/8410223908984_1.jpg?optimize=high&bg-color=255,255,255&fit=bounds&height=&width=","",""
